구분,인구수,세대수,연간 쓰레기 배출량 예측 값
중앙동,9646,4885,584041600
풍남동,3549,2242,219686688
노송동,10362,5456,629617152
완산동,4881,2594,296875552
동서학동,5823,3113,354352704
서서학동,7916,4306,482485696
중화산1동,13510,6330,812492736
중화산2동,18950,9204,1143102720
서신동,38869,17539,2330250240
평화1동,11847,7009,728085888
평화2동,43236,18596,2582278144
삼천1동,11582,5336,695583680
삼천2동,12294,6038,742339968
삼천3동,20663,9155,1237004288
효자1동,12809,5881,769048960
효자2동,9115,4453,550150464
효자3동,13835,5970,826557120
효자4동,38595,16731,2306504192
효자5동,36079,18556,2187335168
진북동,12531,6522,760581056
인후1동,17185,7423,1026760640
인후2동,10241,5707,625632000
인후3동,30137,14449,1815865088
덕진동,20643,10992,1255550720
금암1동,8041,5834,505719840
금암2동,9449,5175,576284224
팔복동,7354,4506,453645824
우아1동,11939,5933,721648128
우아2동,13795,7669,842525056
호성동,18593,7887,1109336960
송천1동,64691,24347,3826455808
송천2동,26465,11126,1577910016
조촌동,12032,6263,730304320
여의동,15887,7125,952023552
혁신동,35931,13029,2120059136
