구분,인구수,세대수,연간 쓰레기 배출량 예측 값
송천1동,64691,24347,38265
평화2동,43236,18596,25823
서신동,38869,17539,23303
효자4동,38595,16731,23065
효자5동,36079,18556,21873
혁신동,35931,13029,21201
인후3동,30137,14449,18159
송천2동,26465,11126,15779
덕진동,20643,10992,12556
삼천3동,20663,9155,12370
중화산2동,18950,9204,11431
호성동,18593,7887,11093
인후1동,17185,7423,10268
여의동,15887,7125,9520
우아2동,13795,7669,8425
효자3동,13835,5970,8266
중화산1동,13510,6330,8125
효자1동,12809,5881,7690
진북동,12531,6522,7606
삼천2동,12294,6038,7423
조촌동,12032,6263,7303
평화1동,11847,7009,7281
우아1동,11939,5933,7216
삼천1동,11582,5336,6956
노송동,10362,5456,6296
인후2동,10241,5707,6256
중앙동,9646,4885,5840
금암2동,9449,5175,5763
효자2동,9115,4453,5502
금암1동,8041,5834,5057
서서학동,7916,4306,4825
팔복동,7354,4506,4536
동서학동,5823,3113,3544
완산동,4881,2594,2969
풍남동,3549,2242,2197
