구분,세대수,인구수(계),인구수(남),인구수(여),18세미만인구수(계),18세미만인구수(남),18세미만인구수(여),18세이상인구수(계),18세이상인구수(남),18세이상인구수(여),65세이상인구수(계),65세이상인구수(남),65세이상인구수(여),데이터기준일자
중앙동,4885,9646,4779,4867,1139,598,541,5966,3058,2908,2541,1123,1418,2024-09-01
풍남동,2242,3549,1757,1792,175,93,82,1911,1053,858,1463,611,852,2024-09-01
노송동,5456,10362,5079,5283,958,516,442,6119,3164,2955,3285,1399,1886,2024-09-01
완산동,2594,4881,2391,2490,481,264,217,2806,1462,1344,1594,665,929,2024-09-01
동서학동,3113,5823,2829,2994,459,242,217,3288,1688,1600,2076,899,1177,2024-09-01
서서학동,4306,7916,3826,4090,569,293,276,4707,2431,2276,2640,1102,1538,2024-09-01
중화산1동,6330,13510,6403,7107,1592,839,753,8857,4241,4616,3061,1323,1738,2024-09-01
중화산2동,9204,18950,9499,9451,2878,1492,1386,13533,6821,6712,2539,1186,1353,2024-09-01
서신동,17539,38869,18909,19960,5941,3050,2891,27165,13351,13814,5763,2508,3255,2024-09-01
평화1동,7009,11847,5625,6222,896,496,400,7011,3581,3430,3940,1548,2392,2024-09-01
평화2동,18596,43236,20715,22521,6658,3348,3310,28140,13712,14428,8438,3655,4783,2024-09-01
삼천1동,5336,11582,5639,5943,1397,735,662,7600,3743,3857,2585,1161,1424,2024-09-01
삼천2동,6038,12294,5890,6404,1191,615,576,8040,3914,4126,3063,1361,1702,2024-09-01
삼천3동,9155,20663,9910,10753,2717,1394,1323,13751,6717,7034,4195,1799,2396,2024-09-01
효자1동,5881,12809,6118,6691,1631,835,796,7978,3935,4043,3200,1348,1852,2024-09-01
효자2동,4453,9115,4344,4771,912,479,433,5872,2864,3008,2331,1001,1330,2024-09-01
효자3동,5970,13835,6451,7384,1705,873,832,8867,4207,4660,3263,1371,1892,2024-09-01
효자4동,16731,38595,18848,19747,7518,3839,3679,26744,13094,13650,4333,1915,2418,2024-09-01
효자5동,18556,36079,18026,18053,5104,2653,2451,28412,14229,14183,2563,1144,1419,2024-09-01
진북동,6522,12531,6012,6519,1009,531,478,7232,3713,3519,4290,1768,2522,2024-09-01
인후1동,7423,17185,8231,8954,2630,1299,1331,10768,5301,5467,3787,1631,2156,2024-09-01
인후2동,5707,10241,5031,5210,834,438,396,6313,3233,3080,3094,1360,1734,2024-09-01
인후3동,14449,30137,14850,15287,4660,2359,2301,20957,10582,10375,4520,1909,2611,2024-09-01
덕진동,10992,20643,10482,10161,2961,1516,1445,14496,7603,6893,3186,1363,1823,2024-09-01
금암1동,5834,8041,4362,3679,358,183,175,6187,3519,2668,1496,660,836,2024-09-01
금암2동,5175,9449,4616,4833,786,400,386,5905,3069,2836,2758,1147,1611,2024-09-01
팔복동,4506,7354,3975,3379,508,269,239,4707,2759,1948,2139,947,1192,2024-09-01
우아1동,5933,11939,5967,5972,1623,816,807,7956,4066,3890,2360,1085,1275,2024-09-01
우아2동,7669,13795,7271,6524,1373,700,673,9701,5320,4381,2721,1251,1470,2024-09-01
호성동,7887,18593,8841,9752,2670,1344,1326,12046,5829,6217,3877,1668,2209,2024-09-01
송천1동,24347,64691,31949,32742,14983,7664,7319,43997,21752,22245,5711,2533,3178,2024-09-01
송천2동,11126,26465,12914,13551,4059,2035,2024,17920,8917,9003,4486,1962,2524,2024-09-01
조촌동,6263,12032,6145,5887,1405,744,661,7853,4190,3663,2774,1211,1563,2024-09-01
여의동,7125,15887,8042,7845,2309,1224,1085,10560,5483,5077,3018,1335,1683,2024-09-01
혁신동,13029,35931,17675,18256,9772,4947,4825,24097,11779,12318,2062,949,1113,2024-09-01
