행정동,위도,경도
고랑동,35.8806254,127.0873977
고사동,35.8201697,127.1428285
교동,35.8131377,127.1611794
금상동,35.8443224,127.1912098
금암동,35.8397006,127.13577
남노송동,35.8191701,127.1600644
대성동,35.7942534,127.1743084
덕진동,35.8453902,127.120717
동서학동,35.8044682,127.157994
동완산동,35.8088342,127.143791
만성동,35.8445755,127.0806919
반월동,35.8784723,127.0695485
산정동,35.84434,127.1736277
삼천동,35.79629405,127.1220839
상림동,35.8187612,127.0724627
서노송동,35.8272525,127.1457493
서서학동,35.7966033,127.1494774
서신동,35.8338729,127.1150449
석구동,35.7662554,127.130318
성덕동,35.8779283,127.0366138
송천동,35.86608875,127.1167341
여의동,35.8603478,127.0739209
용복동,35.769279,127.0750413
용정동,35.8797568,127.0520617
원당동,35.7628658,127.1122159
장동,35.8551918,127.0582667
전동,35.8138506,127.147988
중노송동,35.8249552,127.1569569
중동,35.8324903,127.0632048
중앙동,35.8202421,127.1411442
중인동,35.7618214,127.0916214
진북동,35.8283686,127.1367041
태평동,35.8241861,127.138782
팔복동,35.8536596,127.1062727
평화동,35.78228855,127.1287911
풍남동,35.8170248,127.1480415
호성동,35.8636829,127.1496139
효자동,35.80455,127.1122589
다가동,35.81482286,127.1419656
서완산동,35.808131,127.1365145
인후동,35.83576721,127.1571882
전미동,35.89213511,127.1232878
중화산동,35.81363959,127.133231
우아동,35.84985613,127.1595584
경원동,35.8216593,127.1475267
